Nome,Acquistato
STRAKOSHA,1
HANDANOVIC,1
SZCZESNY,1
SEPE,0
DONNARUMMA G,1
PAU LOPEZ,0
MERET,1
SIRIGU,0
BERISHA E,1
GOLLINI,0
JORONEN,0
OLSEN,0
MUSSO,0
SILVESTRI,0
DRAGOWSKI,0
BUFFON,0
GABRIEL,0
AUDERO,0
CONSIGLI,0
SKORUPSKI,0
OSPINA,0
RADU I,0
PEGOLO,0
ALFONSO,0
CRAGNO,1
RAFAEL,0
TURATI,0
ROSSI F,1
SPORTIELLO,1
DA COSTA,0
SARR M,0
ANDRENACCI,0
ARESTI,1
BRANCOLINI,0
CEROFOLINI,1
TERRACCIANO,0
JANDREI,0
MARCHETTI,0
VODISEK,1
BERNI,1
PADELLI,1
PERIN,0
PINSOGLIO,0
GUERRIERI,1
PROTO,0
BLEVE,0
VIGORITO,1
DONNARUMMA AN,0
REINA,0
KARNEZIS,0
COLOMBI,0
FUZATO,0
MIRANTE,0
FALCONE,0
THIAM D,0
ROSATI,0
ZACCAGNO,0
NICOLAS,0
PERISAN,1
BERARDI A,0
RADUNOVIC,0
ALASTRA,0
RUSSO A,0
LETICA,1
AVOGADRI,0
SECULIN,0
UJKANI,0
